temp,cond,date
24,FT,2015-11-23
26,FT,2015-11-27
24,FT,2015-11-30
27,FT,2015-12-04
28,FT,2015-12-07
33,FT,2015-12-11
23,FT,2015-12-14
28,FT,2015-12-18
29,FT,2015-12-21
31,FT,2015-12-25
23,FT,2015-12-28
33,FT,2016-01-01
24,FT,2016-01-08
26,FT,2016-01-15
28,FT,2016-01-18
22,FT,2016-01-22
25,FT,2016-01-25
26,FT,2016-01-29
21,FT,2016-02-08
19,FT,2016-02-12
18,SY,2016-02-12
13,FT,2016-02-15
14,FT,2016-02-19
15,FT,2016-02-22
15,FT,2016-02-26
7,FT,2016-02-29
7,FT,2016-03-04
15,FT,2016-03-07
5,FT,2016-03-07
9,GD,2016-03-11
10,SY,2016-03-11
21,SY,2016-03-11
7,FT,2016-03-14
1,GD,2016-03-18
3,FT,2016-03-21
19,FT,2016-03-21
7,GD,2016-03-25
8,FT,2016-03-25
0,FT,2016-03-28
7,FT,2016-04-01
7,FT,2016-04-04
6,FT,2016-04-08
-1,SN,2016-04-11
-3,GD,2016-04-15
-2,FT,2016-04-18
5,GD,2016-04-22
-3,FT,2016-04-25
-2,FT,2016-04-29
-2,SN,2016-04-29
